Country Name,Country Code,Series Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total GDP
Norway,NOR,GDP (current US$),5.10E+11,5.23E+11,4.98E+11,3.86E+11,3.69E+11,3.98E+11,4.37E+11,4.05E+11,3.62E+11,4.82E+11,4.37E+12
Oman,OMN,GDP (current US$),87408842653,89936020806,92699089727,78710793238,75128738622,80856697009,91505851756,88060858257,75909397659,88191977373,8.48E+11
Pakistan,PAK,GDP (current US$),2.24E+11,2.31E+11,2.44E+11,2.71E+11,3.14E+11,3.39E+11,3.56E+11,3.21E+11,3.00E+11,3.48E+11,2.95E+12
Palau,PLW,GDP (current US$),212397800,221117200,241669800,280457700,298300000,285600000,284900000,278900000,251900000,217800000,2573042500
Panama,PAN,GDP (current US$),40429700000,45599900000,49921400000,54091800000,57907700000,62202700000,64929400000,66984400000,53977000000,63605100000,5.60E+11
Papua New Guinea,PNG,GDP (current US$),21295659244,21261432791,23210682538,21723531173,20759069103,22742613554,24109509853,24751344561,23848265896,26594305746,2.30E+11
Paraguay,PRY,GDP (current US$),33271921136,38501122141,40377929296,36211447840,36089700223,38997129474,40225448341,37925338329,35432178068,39495431574,3.77E+11
Peru,PER,GDP (current US$),1.93E+11,2.01E+11,2.01E+11,1.90E+11,1.92E+11,2.11E+11,2.23E+11,2.28E+11,2.02E+11,2.23E+11,2.06E+12
Philippines,PHL,GDP (current US$),2.62E+11,2.84E+11,2.97E+11,3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11,3.28E+12
Poland,POL,GDP (current US$),4.95E+11,5.16E+11,5.39E+11,4.77E+11,4.70E+11,5.25E+11,5.89E+11,5.96E+11,5.99E+11,6.79E+11,5.49E+12
Portugal,PRT,GDP (current US$),2.16E+11,2.26E+11,2.30E+11,1.99E+11,2.06E+11,2.21E+11,2.42E+11,2.40E+11,2.29E+11,2.54E+11,2.26E+12
Puerto Rico,PRI,GDP (current US$),1.02E+11,1.02E+11,1.02E+11,1.03E+11,1.04E+11,1.03E+11,1.01E+11,1.05E+11,1.03E+11,1.07E+11,1.03E+12
Qatar,QAT,GDP (current US$),1.87E+11,1.99E+11,2.06E+11,1.62E+11,1.52E+11,1.61E+11,1.83E+11,1.76E+11,1.44E+11,1.80E+11,1.75E+12
Romania,ROU,GDP (current US$),1.79E+11,1.90E+11,2.00E+11,1.78E+11,1.85E+11,2.10E+11,2.43E+11,2.51E+11,2.51E+11,2.84E+11,2.17E+12
Russian Federation,RUS,GDP (current US$),2.21E+12,2.29E+12,2.06E+12,1.36E+12,1.28E+12,1.57E+12,1.66E+12,1.69E+12,1.49E+12,1.78E+12,1.74E+13
Rwanda,RWA,GDP (current US$),7650671477,7815975294,8234762201,8539424910,8690878328,9252834120,9642440646,10356327149,10184345442,11070356519,91438016086
Samoa,WSM,GDP (current US$),773157453.3,797728653.3,796698269.2,824160018.2,843929640,884847176.2,878435084.2,912944537.8,868904477.7,843842416.5,8424647726
San Marino,SMR,GDP (current US$),1604779648,1678841812,1673973695,1419394771,1468377272,1528630707,1655300873,1616188702,1541204338,0,14186691818
Sao Tome and Principe,STP,GDP (current US$),250680845.7,300554483.6,346528329.2,316066072.3,345495615,375614126.2,412253809.7,427425039.7,472551022.5,526653790.7,3773823135
Saudi Arabia,SAU,GDP (current US$),7.36E+11,7.47E+11,7.56E+11,6.54E+11,6.45E+11,6.89E+11,8.17E+11,8.04E+11,7.03E+11,8.34E+11,7.39E+12
Senegal,SEN,GDP (current US$),17660871726,18918668644,19797254643,17774766636,19040312815,20996564752,23116897847,23398811424,24493157583,27625388352,2.13E+11
Serbia,SRB,GDP (current US$),43309252921,48394239475,47062206678,39655958843,40692643373,44179055280,50640650221,51514222382,53356480454,63082047650,4.82E+11
Seychelles,SYC,GDP (current US$),1059498884,1328091522,1387581392,1416001322,1490228319,1573433081,1636312010,1684373490,1261198524,1454458184,14291176728
Sierra Leone,SLE,GDP (current US$),3801862611,4920343195,5015157816,4218723875,3674794530,3719369107,4085114794,4076578543,4063289450,4042237864,41617471785
Singapore,SGP,GDP (current US$),2.95E+11,3.08E+11,3.15E+11,3.08E+11,3.19E+11,3.43E+11,3.77E+11,3.75E+11,3.45E+11,3.97E+11,3.38E+12
